,education,maritalstatus_Single,gender_M,last_prod_enq2_CC,last_prod_enq2_ConsumerLoan,last_prod_enq2_HL,last_prod_enq2_PL,last_prod_enq2_others,first_prod_enq2_CC,first_prod_enq2_ConsumerLoan,first_prod_enq2_HL,first_prod_enq2_PL,first_prod_enq2_others,total_tl,tot_closed_tl,tot_active_tl,total_tl_opened_l6m,tot_tl_closed_l6m,pct_tl_open_l6m,pct_tl_closed_l6m,pct_active_tl,pct_closed_tl,total_tl_opened_l12m,tot_tl_closed_l12m,pct_tl_open_l12m,pct_tl_closed_l12m,tot_missed_pmnt,auto_tl,cc_tl,consumer_tl,gold_tl,home_tl,pl_tl,secured_tl,unsecured_tl,other_tl,age_oldest_tl,age_newest_tl,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_delinquency_level,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,cc_enq,cc_enq_l6m,cc_enq_l12m,pl_enq,pl_enq_l6m,pl_enq_l12m,time_since_recent_enq,enq_l12m,enq_l6m,enq_l3m,age,netmonthlyincome,time_with_curr_empr,pct_of_active_tls_ever,pct_opened_tls_l6m_of_l12m,pct_currentbal_all_tl,cc_utilization,cc_flag,pl_utilization,pl_flag,pct_pl_enq_l6m_of_l12m,pct_cc_enq_l6m_of_l12m,pct_pl_enq_l6m_of_ever,pct_cc_enq_l6m_of_ever,max_unsec_exposure_inpct,hl_flag,gl_flag,credit_score
13789,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.667,0.333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,100.0,14.0,43.0,11.99984778512987,12.38334646105069,0.0,3.1996600442466416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,440.0,0.0,0.0,0.0,35.0,39000.0,126.0,0.667,0.0,0.704,0.3368008107750004,0.0,0.809,1.0,0.0,0.0,0.0,0.0,7.692,0.0,0.0,707.0
13790,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,2.0,1.0,1.0,0.167,0.167,0.333,0.667,1.0,1.0,0.167,0.167,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,49.0,4.0,70.0,28.0,3.0,10.0,90.0,24.0,1.0,3.0,2.0,24.0,24.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,1.0,1.0,0.0,40.0,15000.0,67.0,0.333,1.0,0.669,0.7516676355553651,0.0,0.5131285370812058,0.0,0.0,0.0,0.0,0.0,5.433596201390396,0.0,0.0,687.0
13791,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,1.0,0.0,0.2,0.6,0.4,2.0,1.0,0.4,0.2,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0,1.0,45.0,7.0,79.0,18.0,18.0,1.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,206.0,2.0,0.0,0.0,41.0,35000.0,36.0,0.6,0.0,0.598,0.04550377156858436,0.0,0.958,1.0,0.0,0.0,0.0,0.0,2.007,0.0,0.0,672.0
13792,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,52.0,45.0,846.0,12.753799863992224,13.146299519347068,0.0,3.113628260138364,0.0,0.0,0.0,0.0,0.004499158475908419,-0.000899901211497699,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,1.0,31.0,32000.0,126.0,0.0,0.0,0.0,0.47941949609989076,0.0,-0.008104184110141003,0.0,0.0,0.0,0.0,0.0,1.2180285992657582,1.0,0.0,670.0
13793,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.0,15.0,248.0,12.612390447380173,12.949697065895693,0.0,3.113628260138364,0.0,0.0,0.0,0.0,0.004499158475908419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,30.0,30000.0,154.0,0.0,0.0,0.0,0.45335598391071025,0.0,0.13772020340975474,0.0,1.0,0.0,1.0,0.0,1.1424467398732259,1.0,0.0,656.0
13794,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,61.0,22.0,386.0,12.939467129735206,12.904690168471275,0.0,3.045165343604594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,39.0,15000.0,81.0,0.0,0.0,0.0,0.47941949609989076,0.0,-0.016587454088948198,0.0,0.0,0.0,0.0,0.0,1.4921276620485473,0.0,0.0,687.0
13795,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,6.0,4.0,0.0,0.667,0.0,1.0,0.0,5.0,0.0,0.833,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,2.0,14.0,3.0,78.0,12.4318767661667,12.577509809483914,0.0,3.235951045174227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,32.0,6.0,5.0,1.0,23.0,55000.0,64.0,1.0,0.8,0.671,0.3867925061271751,0.0,0.9348222731606801,0.0,1.0,0.0,1.0,0.0,1.533,0.0,0.0,659.0
13796,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,24.0,37.0,12.347053717996413,12.702038228634251,0.0,3.167488128640457,0.0,0.0,0.0,0.0,0.004499158475908419,-0.000899901211497699,0.0,0.0,24.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,1.0,1.0,0.0,25.0,20000.0,82.0,1.0,0.0,0.288,0.4764320543564632,0.0,0.2634181304296288,0.0,0.0,0.0,0.0,0.0,4.199938627116171,0.0,0.0,696.0
13797,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,68.0,12.152766608464976,12.543905448735424,0.0,3.235951045174227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,2.0,22.0,35000.0,70.0,1.0,1.0,0.799,0.8604426600931786,0.0,0.7861152948949804,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,665.0
13798,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,15.0,4.0,90.0,12.60961075423589,12.9520294142716,0.0,3.18258278240969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,1.0,1.0,13.0,12.0,8.0,2.0,27.0,25000.0,130.0,1.0,1.0,0.964,0.47030648521907853,0.0,0.9550874138441025,0.0,1.0,0.0,1.0,0.0,0.431,0.0,0.0,673.0
