pct_tl_open_l6m,pct_tl_closed_l6m,tot_tl_closed_l12m,pct_tl_open_l12m,pct_tl_closed_l12m,tot_missed_pmnt,cc_tl,home_tl,pl_tl,secured_tl,unsecured_tl,other_tl,age_oldest_tl,age_newest_tl,time_since_recent_payment,time_since_recent_deliquency,max_delinquency_level,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_60p_dpd,num_std_12mts,num_sub,num_sub_12mts,num_dbt,num_dbt_12mts,num_lss,recent_level_of_deliq,cc_enq_l12m,pl_enq_l12m,time_since_recent_enq,enq_l3m,netmonthlyincome,time_with_curr_empr,cc_utilization,cc_flag,pl_flag,pct_pl_enq_l6m_of_ever,pct_cc_enq_l6m_of_ever,hl_flag,gl_flag,maritalstatus,education,gender,last_prod_enq2,first_prod_enq2,approved_flag
0.5,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,5.0,46.0,14.365419861300392,44.90269483256812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,25000.0,125.0,0.6522300277423364,0.0,0.0,0.0,0.0,0.0,0.0,Married,SSC,M,ConsumerLoan,ConsumerLoan,P2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,38.0,395.0,16.476945907205387,24.30613357115356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135.0,0.0,30000.0,154.0,0.1331674865524398,0.0,0.0,0.0,0.0,0.0,0.0,Married,12TH,M,others,others,P2
0.875,0.125,1.0,1.0,0.125,2.0,1.0,0.0,0.0,1.0,7.0,1.0,9.0,1.0,42.0,9.475795511947643,9.729771448713588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,46.0,5.0,25000.0,245.0,0.161,1.0,0.0,1.0,1.0,0.0,0.0,Married,12TH,M,ConsumerLoan,others,P4
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,42.0,7.99913353099933,6.127437675439419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,30000.0,121.0,0.8084165305753165,0.0,0.0,0.0,0.0,0.0,0.0,Married,SSC,M,others,others,P2
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,71.0,4.719521921062769,5.974455564401369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.140356385501621,1.3718471073926903,109.1782528529538,0.9468206878674832,32000.0,154.0,0.674747262184142,0.0,0.0,0.0,0.0,0.0,0.0,Married,12TH,M,others,others,P2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,110.0,110.0,2984.0,12.647800865322557,427.08102417326097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3558028042175793,2.355802804217579,1.0,28000.0,122.0,0.630328230321103,0.0,0.0,0.0,0.0,0.0,0.0,Married,12TH,M,others,others,P2
0.143,0.0,1.0,0.143,0.143,0.0,0.0,0.0,0.0,5.0,2.0,5.0,138.0,3.0,80.0,11.0,89.0,1.0,0.0,22.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1679.0,0.0,48000.0,126.0,0.0147124569427952,0.0,0.0,0.0,0.0,1.0,0.0,Married,UNDER GRADUATE,M,others,others,P1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,8.0,45.0,7.0,14.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,35.0,1.0,65000.0,129.0,0.3277984059004161,0.0,0.0,0.0,0.0,0.0,0.0,Married,SSC,M,others,ConsumerLoan,P2
0.0,0.2,1.0,0.4,0.2,1.0,0.0,0.0,1.0,3.0,2.0,0.0,92.0,10.0,51.0,8.0,15.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,200.0,0.0,64000.0,35.0,0.1270878439633088,0.0,1.0,0.0,0.0,0.0,0.0,Married,UNDER GRADUATE,F,PL,others,P2
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,40.0,97.0,16.115647908309437,38.1638146204211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,15000.0,60.0,0.5244750293052542,0.0,0.0,0.0,0.0,0.0,0.0,Single,GRADUATE,M,ConsumerLoan,others,P2
